,time,btime,atime,events,conc,FL1.Amean,FL1.Amedian,FL1.Asd,file,strain,treatment
E01,0,563.44,1.066,4708,20740.08811,435.5545879,417.5,290.2125098,E01,NA,0
E02,0.418166667,563.8581667,0.796,3946,29014.70588,449.3606183,427,309.287847,E02,NA,0.0078125
E03,0.836833333,564.2768333,1.025,4687,20738.93805,431.2728824,412,291.0866311,E03,NA,0.015625
E04,1.256333333,564.6963333,1.275,4864,18014.81481,436.6739309,419,288.6245936,E04,NA,0.03125
E05,1.691333333,565.1313333,1.279,4798,17575.09158,446.3855773,432,296.8773537,E05,NA,0.0625
E06,2.118166667,565.5581667,1.275,4794,17888.0597,450.2075511,435,289.9655427,E06,NA,0.125
E07,2.5565,565.9965,1.032,4821,21144.73684,446.478324,424,292.7710727,E07,NA,0.25
E08,2.9905,566.4305,1.331,4776,17558.82353,479.8544807,460,303.8020332,E08,NA,0.5
E09,3.408333333,566.8483333,1.29,4887,18100,551.0045017,538,320.0130433,E09,NA,1
E10,3.8365,567.2765,1.029,4794,21118.94273,656.310388,626,365.9396811,E10,NA,2
E11,4.263166667,567.7031667,1.035,4866,21626.66667,768.7946979,732,425.3558447,E11,NA,4
E12,4.691666667,568.1316667,1.278,4865,17690.90909,851.2137718,799,458.888228,E12,NA,8
F10,9.3195,572.7595,1.3,4978,18369.00369,873.1398152,838,434.2176049,F10,NA,10
F11,9.756,573.196,1.053,4944,21779.73568,929.3883495,872,481.8157427,F11,NA,20
F12,10.17933333,573.6193333,1.292,4858,17992.59259,969.4530671,909,477.8022217,F12,NA,40
