,FL1.Amean,FL1.Amedian,FL1.Asd,Position,atime,btime,conc,events,file,strain,time,treatment,strain_name
0,2223.981022,2123.5,1005.6619999999999,A01,5.473,1076.7975,462.9942548,2740,A01,6059,0.0,100.0,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10"
1,2355.974824,2226.0,1412.969012,A02,5.726,1077.308833,440.61990210000005,2701,A02,6059,0.511333333,75.0,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10"
2,2312.510473,2223.5,1126.746154,A03,4.876,1077.809,563.594821,2960,A03,6059,1.0115,50.0,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10"
3,2409.595745,2316.0,1171.176109,A04,6.74,1078.297667,385.3494624,2867,A04,6059,1.5001666669999998,37.5,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10"
4,2524.13951,2400.0,1300.4671050000002,A05,6.5360000000000005,1078.8125,402.1987436,2817,A05,6059,2.015,25.0,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10"
5,2656.494078,2516.0,1389.4108509999999,A06,5.261,1079.332333,519.6061192,2955,A06,6059,2.534833333,12.5,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10"
6,3151.558589,2934.0,1444.809466,A07,5.553999999999999,1079.887667,509.4115652,3004,A07,6059,3.090166667,6.25,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10"
7,4444.301022,4067.0,2101.2448489999997,A08,5.749,1080.379,494.94125329999997,3033,A08,6059,3.5815,3.125,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10"
8,8201.355997,7460.0,3916.94081,A09,6.04,1080.869167,491.2557114,3118,A09,6059,4.071666667,1.5625,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10"
9,13862.17059,13491.0,5367.295249,A10,6.27,1081.373833,444.88653110000007,3019,A10,6059,4.576333333,0.78125,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10"
