,time (min),FL1.mean,strain,strain_name,treatment
0,955.3248337000001,2988.526316,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
1,835.7663337,3016.38652,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
2,776.5336667,3173.7302170000003,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
3,714.0488337,3216.865893,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
4,896.8099997000002,3242.507778,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
5,592.6054997,3424.88225,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
6,653.1324997,3540.723695,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
7,534.8476667,4040.010469,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
8,475.9128337,4666.964017,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
9,416.6391667,5396.991833,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
10,355.2361667,6449.736089999999,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
11,297.5509997,8572.92662,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
12,238.6716667,11111.87672,6059,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W10",100
